book,chapter,actor,references
Leviticus,17,JHWH,943175 943176 943178 943187 943188 943189 943207 1317274 943228 943234 1317293 943246 943279 943295 63229 943302 943310 943311 943322 943360
Leviticus,17,MCH=,943177 943179 943182 943264
Leviticus,17,>HRN BN ->HRN KL BN JFR>L,943180 63028
Leviticus,17,>HRN,1317252 63020 943180 63028
Leviticus,17,BN JFR>L,1317258 943219 943220 63100 943223 943224 943227 943232 943249 63153 943254 943255 63165 63167 63169 63255 943314 63262 943323 63279 63289 1317334 63306 943361 943364 943180 63028
Leviticus,17,>JC >JC,943190 943193 943198 943204 943205 943211 943213 943215 943216 63093 1317261 943285 943286 1317331 943265 943271 943276 943277 943281 943282 63208 943292 943338 943344 943349 943352 943297 943299 63240 63243 1317355 943375 943379 63368 943382 943385 943388 943392 63386 943396 943398 63391 943369 943370 943371
Leviticus,17,BJT JFR>L,943191 1317306 63183 1317318 63222 943269 943290 943266 943287
Leviticus,17,KHN,943230 943237 943238 943243
Leviticus,17,F<JR=,943252 63160
Leviticus,17,>JC >JC#2,943265 943271 943276 943277 943281 943282 63208 943292 943338 943344 943349 943352 943297 943299 63240 63243 1317355 943375 943379 63368 943382 943385 943388 943392 63386 943396 943398 63391 943369 943370 943371
Leviticus,17,BJT JFR>L GR,943266 943287
Leviticus,17,GR,1317307 943268 1317319 943289 943330 943332 943335 1317335 943341 1317359 943266 943287 943265 943271 943276 943277 943281 943282 63208 943292 943338 943344 943349 943352 943297 943299 63240 63243 1317355 943375 943379 63368 943382 943385 943388 943392 63386 943396 943398 63391 943369 943370 943371
Leviticus,17,KL/ NPC/,1317329 943327 943324
Leviticus,17,MN <M/ ->JC >JC,943217 943283 943304
Leviticus,18,JHWH,943401 943402 943404 943410 943411 943412 943422 943423 63436 63440 943439 943440 943441 63451 63454 943452 943453 943460 943461 943574 943575 943606 943607 943613 63724 63727 63804 943676 943677 943678 943573
Leviticus,18,MCH=,943403 943405 943408
Leviticus,18,BN JFR>L,943406 63405 63408 943415 943418 63426 943427 943431 943433 943436 943437 63447 943443 943457 943458 943599 63705 943621 943622 943626 63745 63759 63769 943646 63771 63781 943665 943667 63815 943674 63822 943454 63470 943608 943631 943671
Leviticus,18,>DM,943446 943448 943450
Leviticus,18,>B -2ms,1317379 1317386 1317389 1317393 1317415 1317419 1317422 1317425 1317434 943455 943462 943455
Leviticus,18,>M -2ms,1317382 943465 943466 63489 1317396 1317428 1317431 943469 943455 943462 943455
Leviticus,18,2ms,63479 63482 943464 63485 943468 63492 943472 63496 63499 63501 63504 943479 63515 63518 943483 63523 63528 63530 63531 943493 63538 943497 63542 63546 943502 63551 63555 943508 943511 63562 63565 943516 63569 943520 63576 943524 63580 943529 943532 943533 943543 943544 943545 943553 943554 63632 943559 63635 943562 63643 943567 943568 943572 63656 943579 943586 63674 943588
Leviticus,18,>CH >B -2ms,943470 943473 943474 1317387 1317416 943455
Leviticus,18,BT >B -2msBT >M -2ms,1317391 943476 1317417 943489 943490 943491 943480 943494 943455
Leviticus,18,BN -2ms,1317406 1317439
Leviticus,18,<RWH/ >XWT/ >B/ -2ms,1317423 943498 943499 943495 943455
Leviticus,18,<RWH/ >XWT/ >M/ -2ms,1317429 943504 943505 943500 943455
Leviticus,18,>X >B -2ms,1317435 63559
Leviticus,18,DWDH -2ms,943509 943512 943513 943506 943455
Leviticus,18,>CH BN -2ms,1317437 943517 943518 63573 943514 943521 943455
Leviticus,18,<RWH >CH >X -2ms,943522 943525 943526 943455
Leviticus,18,>X -2ms,1317442 1317445
Leviticus,18,>CH,1317447 63585 63590 63594 63599 943540 63607 63614 943550 63623 63628 1317463 943591 943593 943595 943534 943546 943555 943527 943535 943536
Leviticus,18,C>RH,943535 943536
Leviticus,18,>XWT ->CH,943541 63615 63617
Leviticus,18,>CH <MJT -2ms,943557 63640
Leviticus,18,>JC >RY,943603 943604 943650 943652 943634 943635 943637 943619
Leviticus,18,GR,1317479 943630
Leviticus,18,NPC,943654 943656 943659 943660 943662 63800
Leviticus,18,>L KL/ C>R/ BFR/ ->JC >JC,943455
Leviticus,18,<RWH/ >B/ -2msW <RWH/ >M/ -2ms,943462 943455
Leviticus,18,<RWH/ -<RWH -2ms,943484 943455
Leviticus,18,<RWH/ >CH/ W BT/ ->CH,943527 943535 943536
Leviticus,18,>T BT/ BN/ ->CH W >T BT/ BT/ ->CH,943530 943535 943536
Leviticus,18,MN ZR</ -2ms,943565
Leviticus,18,L H MLK=/,943569
Leviticus,18,>T== ZKR=/,943577
Leviticus,18,MN QRB/ <M/ -NPC,943663
Leviticus,19,JHWH,943680 943681 943683 943692 943693 943694 943695 63853 943702 943703 943704 943713 943714 943715 943720 943736 1317513 943775 943776 943777 63983 943796 943797 943820 943821 943843 943844 943867 943868 64086 943915 1317553 943964 943965 943966 943993 943994 64273 64276 944012 944013 944023 944024 944025 944034 944035 944061 944062 944063 944073 944074 944075 944077 64384 64388 944086 944087 1317527 943819 944033 943791 943795
Leviticus,19,MCH=,943682 943684 943687
Leviticus,19,GR,1317498 63838 943689 943690 63845 943698 943701 63857 943706 943711 63868 63871 943718 63880 943722 63884 943754 63932 63935 943759 63967 943779 943782 943785 943790 943823 943870 943935 943938 943941 64187 943959 943961 64215 64219 943968 943971 943974 943976 64233 943986 64247 943991 64253 944008 944011 944015 944020 944021 64296 64317 944043 64323 64325 64330 944058 944059 64343 944065 64370 64373 64376 944081 944084 943685
Leviticus,19,>JC,943696 63847 63849 943786 63978 943886 943888 943913 64136 64147 64158 943926 64163 64165 943932 943928 943908
Leviticus,19,3ms,943743 63915 943745 943748 943750 943751 63929
Leviticus,19,2ms,943757 63939 63944 943763 63948 943767 63953 943771 943773 943794 63991 943799 63997 943803 64005 943810 943815 943818 64021 943827 943831 943834 64042 943837 64047 943841 64052 943846 64058 64060 943850 64064 943854 943858 943861 64077 943864 64081 64082 64088 943873 64092 943877 64102 943980 64239 943996 64259 943998 944027 944029 944032 64308 64314 944054 64334
Leviticus,19,GR#2,1317525 944038 944040 64320 944045 944047 944049 944051 64333 943772
Leviticus,19,R<= -2ms,943800 1317537 943865
Leviticus,19,<MJT -2ms,943835 943851 64068
Leviticus,19,CPXH,943889 943892 943893 943894 943899 64125 943911 943908
Leviticus,19,KHN,943919 943921
Leviticus,19,BT -2ms,943997 64261
Leviticus,19,JD<NJ,944018 64293
Leviticus,19,MYRJM,1317577 1317595
Leviticus,19,>M/ ->JC W >B/ ->JC,943697
Leviticus,19,>L H >LJL/,943707
Leviticus,19,MN <M/ -NPC,943752
Leviticus,19,L H <NJ/ W L H GR/,943772
Leviticus,19,B <MJT/ ->JC,943787
Leviticus,19,XRC=/,943811
Leviticus,19,L PNH/ <WR/,943813
Leviticus,19,PNH/ DL/,943828
Leviticus,19,PNH/ GDWL/,943832
Leviticus,19,B <M/ -2ms,943839
Leviticus,19,>T >X/ -2ms,943847
Leviticus,19,>T BN/ <M/ -2ms,943862
Leviticus,19,L >JC/,943895
Leviticus,19,MWT[,943908
Leviticus,19,>L H >WB/,944016
Leviticus,19,MN PNH/ FJBH/,944026
Leviticus,19,PNH/ ZQN/,944030
Leviticus,20,JHWH,944089 944090 944092 944112 944113 64439 944117 64461 64467 944142 944143 64497 944147 944163 64541 944167 944176 944177 944178 64565 944185 944186 944187 64818 64822 944371 944372 944382 944383 944389 944392 944398 944399 944404 944405 944406 944408 944427 64933 944435 944436 944437 944439 64947 944128
Leviticus,20,MCH=,944091 944095
Leviticus,20,BN JFR>L,944094 1317606 944171 944173 944174 64561 944180 944183 64571 64675 944273 944360 944363 64829 64835 944375 944379 64851 64862 944394 944395 64870 944401 64881 64884 944412 944420 64911 64928 944429 944431 944433 64941 944442 944384 944421
Leviticus,20,>JC,944096 944097 944103 64422 944107 64431 944115 64447 64450 64453 944122 944124 944127 944135 944136 64483 64485 64492 1317622 64505 64508 64514 944189 944190 944192 64578 64581 944195 64584 64586 944197 64588 64589 944201 944203 944206 64601 944212 944214 64615 64617 944217 944224 944226 64629 944236 944238 944249 944251 64667 944264 944266 64680 944270 944289 944291 64718 64720 64723 944295 64732 64742 944307 64744 944309 944311 944313 944316 944319 944338 944340 64792 64794 944343 944349 944351 64806 64810 944356 1317714 944156 944158 944160 944165 64549 64552 64783 944334 944098 944151 944300 944148 944209 944210 944219 944220 64622 64623 944229 944230 944232 64635 64636 944242 944243 944245 64650 64651 944325 944326 64771 944304 64740 64785 944336 64796 944345 944347 944357 944358 944145 944257
Leviticus,20,GR,1317607 944100
Leviticus,20,ZR< ->JC,944104 944121 944137
Leviticus,20,MLK=,944105 944123 944138 944153
Leviticus,20,<M >RY,944108 944109 944132 944133 64476 944139 944453 944256
Leviticus,20,KL,1317625 944150 944152 64522 944148
Leviticus,20,>WB JD<NJ,944159 64537 944447 944449 944161
Leviticus,20,>B ->JC >M ->JC,944193 944196
Leviticus,20,>B ->JC,1317634 1317636 1317645 1317647 944193 944196
Leviticus,20,>M ->JC,1317635 1317637 944193 944196
Leviticus,20,N>P N>P,944209 944210
Leviticus,20,CNJM -,944219 944220 64622 64623
Leviticus,20,CNJM -#2,944229 944230 944232 64635 64636
Leviticus,20,>CH,1317649 1317650 64660 944275 944277 944279 1317656 1317715 944283 944285 64711 64712
