participant,refs
JHWH,944128 946176 946179 946182 946184 944142 944143 944147 944163 944167 946219 944176 944177 944178 946231 944185 944186 944187 946374 946377 946378 946379 946397 946398 946399 946405 946406 63724 63727 946417 944371 944372 944382 944383 944389 944392 944398 944399 946446 944404 944405 944406 946455 944408 944427 944435 944436 944437 946486 944439 946489 63804 946492 946495 67905 944458 944459 946506 946511 946512 946515 946518 946520 946526 946527 946528 946530 946537 946540 63853 65908 944509 65919 944513 946565 946566 946570 944534 1317274 946587 946588 944545 944546 944547 944548 65965 1317293 946610 946611 946616 946619 944598 944599 946650 946656 944621 944622 63983 944623 944625 944626 944628 946682 946683 946687 946689 946693 946702 946708 68132 68136 946736 946740 946742 944696 944697 944698 944704 944705 946752 944707 946755 946758 946762 946763 944716 68173 946766 68176 944721 944722 946770 64086 68182 946774 946777 68186 946778 944734 944741 944742 944743 946789 946792 1317513 946832 1317527 944812 944813 1317553 944827 944828 944829 68294 946893 946894 946898 68308 68314 946910 946919 68328 946922 68356 944902 946951 946954 946955 946956 944910 944911 944912 64273 944914 944915 64276 944917 68369 68374 946960 946961 946962 946964 946968 946972 68382 946974 946975 946976 68386 944932 946980 946981 946982 944953 68419 944970 944977 68442 944991 1317731 1317733 1317735 945011 945012 945014 1317755 1317759 64384 64388 945028 1317767 68491 945039 68498 945048 945049 945056 945057 945061 1317799 945063 1317801 945065 1317803 945066 945067 945069 945072 945074 945075 945076 68532 945078 64439 945079 945081 68535 64461 64467 945107 68574 945121 945126 64497 945140 68603 945148 945149 68606 945151 945161 945162 945174 64541 945187 68648 945194 64565 943175 943176 945224 943178 945233 943187 943188 943189 1317975 945247 945251 943207 1317991 945266 945270 943228 943234 943246 1318033 945298 945299 945300 945302 945303 945305 945323 1318059 945325 945326 943279 945328 945342 943295 943302 66758 945353 945354 943310 943311 68817 68822 943322 945371 1318117 945394 945395 68851 945397 68856 945405 68861 943360 945414 945422 68890 945436 1318173 68894 945443 943401 943402 943404 943410 943411 943412 64818 64822 68915 945464 945465 943422 943423 945471 943439 943440 943441 945491 945493 945496 1318233 945497 945498 943452 943453 68955 945505 945506 943460 943461 1318246 945508 945527 945534 1318273 945553 1318299 945567 64933 1318317 64947 1318333 945597 1318339 945616 1318353 945617 945619 943573 943574 943575 1318361 1318373 945640 945646 943606 943607 945656 943613 1318405 1318415 945710 945711 945712 943676 943677 943678 943680 943681 945730 943683 945731 945734 945735 945738 943692 943693 943694 943695 945748 945749 943702 943703 943704 945755 943713 943714 943715 943720 943736 943775 943776 943777 943791 943795 943796 943797 943819 943820 943821 943843 943844 943867 943868 63229 945917 945918 945919 945915 945958 943915 65338 945989 943964 943965 943966 65380 65384 943993 943994 65418 944012 944013 67474 67477 944023 944024 944025 944033 944034 944035 944061 944062 944063 67524 944073 944074 944075 63436 944077 63440 944086 944087 944089 944090 63451 944092 63454 946157 944112 944113 65522 67571 944117 67579 946172 946173 946174
MCH=,945152 945537 945155 945540 945547 945555 944916 944918 945304 944921 945306 945308 943264 943403 943405 945327 943408 945714 945715 945080 945082 944700 944701 945085 945400 943682 944706 943684 944708 945603 943687 945732 943177 945736 943179 944460 944461 943182 945739 945742 944465 945618 944723 945620 944091 945500 945501 944095 945507 66788 945509 945635 945636 944627 945396 944629 945013 944631 945398 945150
>HRN,944640 944641 65555 944662 65561 944666 944667 65565 944669 944670 944676 944677 944680 944683 63020 944687 63028 944693 944702 944709 944711 944715 943180 944725 944728 65122 944739 944740 65126 944744 944745 944747 944748 65133 944750 65647 944753 944755 65140 65653 944758 65144 944761 944767 944769 65666 65155 944772 65158 944777 65674 944780 944782 944785 65172 944789 944792 65177 65178 944799 944802 65703 944809 944810 944815 65201 944819 944823 65207 65209 944826 65213 65727 944840 944842 65228 65230 65233 65240 944894 944898 65285 944904 944907 65300 65813 944919 65303 65309 65825 65836 944942 944634 65333 65342 65350 944968 944974 944981 65368 944990 66911 944995 65891 944999 66921 65388 65390 945522 945524 65397 945532 65408 65409 1317252 65928 945033 65931 945037 945041 65937 945045 945051 945054 945566 1317795 945060 1317797 945573 945575 65450 944560 1317810 944562 944569 1317818 944571 944575 944579 1317827 944583 944586 1317837 944590 944593 65490 944601 944604 1317853 1318366 944609 65507 1317861 944613 944617 1317867 1317871 1317873 944630 944632 944633 1317882 1317884 65535
BN JFR>L,67584 944132 944133 944139 946216 946217 944171 944173 944174 946223 944180 944183 946241 946249 946262 946265 946270 946273 946274 65643 65649 946292 944256 65674 944273 65703 65727 946369 946370 946371 946372 946381 946387 946392 63705 946394 946401 946404 944360 946409 944363 946412 946414 944375 944379 944384 63745 67844 946438 67847 944394 944395 946442 67853 63759 944401 946450 67859 65813 63769 63771 944412 946464 65825 944420 63781 944421 946471 946468 946473 65836 944429 946476 944431 946479 944433 946483 944442 946499 944453 67909 63815 946504 946508 63822 946516 946522 946523 946525 63838 67938 65891 946533 63845 946535 67952 63857 946546 946550 67959 67963 946555 63868 67966 946559 946560 946561 63871 946563 67973 67974 65928 63880 1317258 65931 63884 946575 67984 65937 946578 946580 67989 946591 65955 946598 946607 1317306 63932 63935 1317318 65990 946641 1317334 946646 946647 63967 946675 946678 66045 946699 946704 946706 946721 66083 946724 946729 66092 68140 946732 68146 68149 66102 946746 68157 946750 944702 66115 68164 68171 944718 944719 66127 944732 944733 68193 946793 68209 946810 946811 68220 1317498 66174 66177 68228 66181 66184 946825 66187 66194 68252 68256 68260 68266 66220 68271 946863 68276 68278 64187 68284 68287 68290 68295 68310 64215 68315 64219 68319 68322 1317606 64233 68333 68336 64247 68347 64253 68350 944901 66314 66324 66326 944919 68376 66329 66332 68384 946982 68391 64296 68394 944942 66355 68413 64317 68416 64323 68420 64325 944968 68425 64330 66380 68428 944974 68429 68435 944981 64343 944990 68447 68450 944995 944999 68455 68459 68465 64370 66421 64373 64376 66425 68474 68478 945033 945037 66448 945041 66452 945045 68501 68505 945051 68508 945054 68515 945060 68519 945064 68522 68525 945083 68541 1317823 945089 68546 66501 68551 66504 68554 66508 945104 66512 68562 68567 945113 64476 66526 68575 68582 945129 68588 945136 945138 1317879 945146 1317888 945153 68611 945158 68617 945165 68622 945168 68626 68629 66584 68634 945180 945182 68638 68642 68645 68649 68653 64561 945202 68658 945204 945207 68664 945210 64571 945214 68674 945219 66629 945222 68679 945226 66635 943180 68686 1317969 66641 945235 68690 68693 943191 66657 945253 68709 943219 943220 943223 943224 945273 68727 943227 66683 68729 68734 943232 945280 945283 945285 943249 66706 943254 943255 945307 943266 64675 66723 943269 68773 945319 945321 68777 68785 68787 943287 68791 945337 943290 945338 945340 66748 68797 945346 66759 66765 943314 943323 945376 945378 945384 945385 945391 945399 943361 945410 943364 945412 66823 945420 945427 945431 945434 945442 945446 945448 943406 945457 943415 945463 943418 945468 64829 943427 64835 945477 945475 943431 945480 943433 945482 943436 943437 945484 945487 945488 943443 64851 945492 943454 64862 945503 943457 943458 64870 945510 945512 64881 64884 945530 64911 64928 945569 1318311 64941 945589 945630 945632 945634 943599 945650 945652 943608 943621 943622 1318409 943626 943631 1318417 943646 67119 943665 943667 63028 945716 945718 943671 943674 67130 945723 945727 945728 943685 943689 943690 945740 945745 943698 943701 943706 943711 943718 67178 943722 67187 63100 1318526 1318527 943754 943759 945824 943779 945828 943782 945832 943785 945835 943790 1318575 63153 945841 67252 1318582 945847 1318583 63165 63167 945855 63169 945858 945862 63183 945871 1318608 945874 943823 1318613 1318614 945879 1318618 945883 945886 63222 945910 943870 945921 67331 945925 945927 945930 945938 945941 63255 67351 945946 945948 63262 945952 945955 67369 63279 945967 945970 945976 63289 67387 943935 943938 945987 945988 943941 945993 63306 943959 943961 943968 943971 943974 943976 943986 943991 944008 944011 67470 944015 944020 944021 944043 63405 63408 944058 944059 67520 944065 63426 67525 946127 944081 944084 63447 944094 944108 944109 63470
>JC >JC,945664 64514 945666 945668 944135 944136 945672 945674 67082 1318412 1318413 945678 67088 944145 944148 944151 945689 944156 67613 944158 944160 67617 945696 67107 945698 944165 67622 943654 943656 64549 64552 67627 943659 943660 943662 945700 945702 67642 944189 944190 67647 944192 64578 944195 67653 64581 944197 64584 944201 64586 944203 64588 64589 944206 943696 944209 944210 944212 943190 67671 944214 943193 64601 944217 944219 944220 943198 944224 944226 943204 943205 944229 64615 944230 64617 944232 943211 944236 943213 944238 943215 943216 64622 64623 944242 944243 63093 64629 944245 944249 944251 64635 64636 943743 943745 944257 943748 943750 943751 64136 944264 944266 64650 64651 944270 64147 65688 64667 65691 64158 65695 943265 944289 64163 944291 64165 943271 64680 944295 943786 943276 943277 944300 944304 943281 943282 945842 944307 943285 943286 945845 944309 944311 944313 943292 944316 944319 943297 943299 944325 944326 64718 945359 64720 944334 945362 945875 64723 944338 944340 945367 944343 944336 944345 944347 943324 945372 64732 943327 945887 944349 944351 944356 64740 64742 944357 63208 64744 943338 944358 943344 943349 1317622 945911 943352 64771 63240 943369 943370 63243 943371 943886 943375 943888 64783 64785 943379 943382 64792 943385 64794 944923 943388 67356 64796 1318175 943392 67360 944927 944931 943396 943908 943398 1318181 64806 943913 64810 943926 943928 63800 943932 67403 945657 1317714 67419 946011 946018 946019 946021 63847 946024 63849 946027 946031 946034 946039 946040 946042 946053 67462 63368 946056 946059 1317261 946061 63386 63391 66469 64422 63915 946092 64431 63929 66493 64447 64450 64453 64508 1317329 1317331 67033 67036 944096 944097 944098 64483 64485 945637 944103 945639 67045 63978 1317355 944107 64492 945642 945645 945648 67056 944115 945655 64505 944122 945659 944124 945661 944127
BN >HRN,65027 65029 65034 65037 65042 945170 945172 65049 945177 945178 65054 65060 63028 65083 65085 944702 944709 944711 944715 943180 944725 944728 944739 944740 945261 945262 65647 65653 945271 943230 943237 943238 65674 943243 65703 944815 944819 944823 944826 65727 944898 944904 944907 65813 944919 65825 65836 944942 943919 943921 944968 944462 944463 944974 944469 944981 944990 944995 65891 944999 944488 944490 65388 944493 65390 944495 944501 65397 944505 944507 944508 944512 65408 65409 944517 944518 944520 944521 945033 65928 944524 945037 65931 945041 944530 65937 944532 944533 945045 944539 944540 944541 944542 945051 945054 945060 945573 945575 944554 944563 1317819 1317827 64980 64986 64990 64993 64995 64998 65001 65004 65007 65010 65015 1317883 1317884 65535
MLK=,944449 944161 64293 944447 944123 944105 944138 944016 943569 944018 943252 63160 944153 943707 64537 944159
GR,945664 64514 945666 945668 944135 944136 945672 945674 67082 68108 1318412 943630 1318413 945678 944145 67088 944148 944151 945689 944156 944158 944160 945696 945698 67107 945700 944165 943654 64549 943656 64552 945706 945707 945708 943659 943660 943662 945702 944189 944190 944192 64578 944195 64581 944197 64584 944201 64586 944203 64588 64589 944206 944209 944210 944212 944214 64601 944217 944219 944220 944224 944226 944229 944230 1317479 64615 64617 946282 946283 944236 944232 944238 64622 64623 944242 946291 944243 64629 944245 946295 944249 944251 64635 64636 944257 945795 945797 944264 944266 64650 64651 946318 944270 945295 1317525 65688 64667 943772 65691 65695 943265 943266 944289 943268 944291 943271 64680 944295 943276 943277 944300 944304 943281 943282 946354 944307 944309 943287 944311 943289 944313 943292 944316 944319 943297 943299 944325 944326 64718 944334 64720 944336 944338 64723 944340 1318615 944343 944345 944347 64732 944349 944351 943330 943332 944356 64742 943335 63208 1317607 943338 64744 64740 943341 944357 944358 943344 943349 1317622 943352 64771 63240 943369 943370 63243 943371 943375 64783 64785 943379 943382 64792 943385 64794 944923 943388 64796 944927 943392 944931 943396 943398 64806 64810 63800 64320 64333 945657 1317714 63368 63386 63391 68006 944038 944040 64422 67045 944045 944047 64431 944049 944051 1317307 64447 64450 64453 1317319 64508 68052 1317335 67033 67036 944096 944097 944098 64483 944100 68068 64485 944103 945637 945639 945642 1317355 944107 64492 945645 1317359 945648 67056 944115 945653 945654 945655 64505 944122 945659 944124 945661 944127
B <M/ -2ms,944612 944327 943304 943752 944169 944619 944492 943663 943217 943283 945363 944470 944119 944154 945373
>DM,65475 945701 944775 1318420 943446 943448 943450 945691 65468 945662 65471
