,cluster
Aaron's_sons,2
YHWH,2
Moses,1
Israelites,2
kinsmen,1
an_Israelite,2
Aaron,2
blasphemer,1
sojourner,2
2msg,2
corpse,0
foreign_nations,1
remnants,1
group_of_people,1
2mpl,0
lay-person,0
witnesses,0
father,0
mother,0
virgin,0
widowed/expelled/defiled_woman,0
offspring,0
human_being,1
slave,0
brother,1
handmaid,0
sons_of_sojourners,0
children,0
no-one,0
idols,1
father's_wife,0
sister,1
aunt,0
aunt-in-law,0
daughter-in-law,0
fellow's_wife,1
granddaughter,0
woman_and_her_mother,0
man/woman,0
male,0
woman_in_menstruation,0
purchaser,0
relative,0
daughter,1
poor,0
deaf,0
blind,0
rich,0
elderly,0
woman,0
son_of_brother,0
woman_and_her_daughter,0
granddaughter_of_woman,0
sister_of_woman,0
brother's_brother,0
clan,0
brother's_uncle,0
man,0
husband,0
